timestamp,tower_code,signal_pct,load_pct,latency_ms,status,energy_source,batt_pct,diesel_pct,solar_kw,grid_up,fuel_litres,gen_runtime_hrs,uptime_pct,cost_ngn
2026-05-05T16:58:45.259653Z,TWR-LAG-SUR-039,68,18,86,backhaul_degraded,diesel,19,99,8.7,True,383,136,76,24853
2026-05-05T16:53:45.259653Z,TWR-LAG-IKE-030,32,17,166,recovering,solar,69,17,10.4,False,86,887,77,12747
2026-05-05T16:48:45.259653Z,TWR-LAG-LEK-015,51,76,353,backhaul_degraded,solar,87,80,11.1,True,268,226,100,15140
2026-05-05T16:43:45.259653Z,TWR-LAG-VIC-043,68,44,477,grid_outage,grid,41,75,6.1,False,321,361,84,47254
2026-05-05T16:38:45.259653Z,TWR-LAG-YAB-035,24,60,360,backhaul_degraded,grid,65,71,3.3,False,308,167,68,45824
2026-05-05T16:33:45.259653Z,TWR-LAG-VIC-044,92,27,49,degraded,solar,9,66,7.0,False,250,173,69,31197
2026-05-05T16:28:45.259653Z,TWR-LAG-IKJ-018,78,43,103,backhaul_degraded,solar,36,12,12.1,True,284,765,95,7033
2026-05-05T16:23:45.259653Z,TWR-LAG-IKJ-050,82,25,252,healthy,diesel,6,51,5.9,False,495,855,73,24156
2026-05-05T16:18:45.259653Z,TWR-LAG-IKE-042,30,21,485,grid_outage,grid,71,85,3.6,False,487,337,94,10377
2026-05-05T16:13:45.259653Z,TWR-LAG-SUR-002,53,92,200,recovering,diesel,77,69,2.2,False,134,992,68,9411
2026-05-05T16:08:45.259653Z,TWR-LAG-IKJ-009,57,94,93,degraded,solar,49,51,4.4,True,344,876,68,8006
2026-05-05T16:03:45.259653Z,TWR-LAG-LEK-031,50,25,468,backhaul_degraded,diesel,10,86,14.1,False,305,258,70,26244
2026-05-05T15:58:45.259653Z,TWR-LAG-SUR-025,41,65,433,grid_outage,solar,6,62,4.6,True,298,849,95,11485
2026-05-05T15:53:45.259653Z,TWR-LAG-IKJ-029,54,57,84,grid_outage,battery,17,44,11.2,False,291,835,84,30948
2026-05-05T15:48:45.259653Z,TWR-LAG-VIC-013,23,27,307,degraded,solar,47,25,3.6,True,76,340,77,32841
2026-05-05T15:43:45.259653Z,TWR-LAG-LEK-029,55,23,403,degraded,solar,34,73,1.5,True,368,761,88,10321
2026-05-05T15:38:45.259653Z,TWR-LAG-IKE-039,89,11,93,backhaul_degraded,diesel,40,33,9.9,False,553,306,98,5325
2026-05-05T15:33:45.259653Z,TWR-LAG-IKJ-020,42,47,364,healthy,solar,89,95,7.9,True,388,11,63,41979
2026-05-05T15:28:45.259653Z,TWR-LAG-YAB-049,47,96,110,recovering,solar,77,54,6.8,True,379,35,66,30434
2026-05-05T15:23:45.259653Z,TWR-LAG-YAB-007,48,28,463,healthy,solar,46,42,7.6,False,106,783,79,23745
2026-05-05T15:18:45.259653Z,TWR-LAG-SUR-006,28,31,115,healthy,solar,84,86,4.6,False,384,974,80,6771
2026-05-05T15:13:45.259653Z,TWR-LAG-IKE-028,58,45,388,healthy,solar,51,30,13.5,False,541,575,74,9431
2026-05-05T15:08:45.259653Z,TWR-LAG-VIC-026,53,96,188,healthy,battery,64,52,4.7,False,221,285,66,12224
2026-05-05T15:03:45.259653Z,TWR-LAG-EPE-012,80,18,372,backhaul_degraded,battery,79,86,8.9,True,388,651,67,12523
2026-05-05T14:58:45.259653Z,TWR-LAG-IKJ-026,46,77,71,degraded,diesel,21,63,2.8,False,208,765,89,28166
2026-05-05T14:53:45.259653Z,TWR-LAG-YAB-046,34,15,322,healthy,grid,100,77,11.7,False,194,212,69,35493
2026-05-05T14:48:45.259653Z,TWR-LAG-EPE-028,89,42,343,degraded,grid,48,50,1.0,True,584,436,86,7359
2026-05-05T14:43:45.259653Z,TWR-LAG-SUR-050,51,45,234,backhaul_degraded,grid,15,55,3.4,False,331,445,93,36287
2026-05-05T14:38:45.259653Z,TWR-LAG-IKE-021,49,45,270,recovering,battery,94,28,1.8,True,93,988,67,27459
2026-05-05T14:33:45.259653Z,TWR-LAG-SUR-021,44,61,436,degraded,grid,6,35,11.0,False,309,310,65,32694
2026-05-05T14:28:45.259653Z,TWR-LAG-SUR-003,74,66,442,healthy,battery,54,14,13.2,False,70,464,91,26657
2026-05-05T14:23:45.259653Z,TWR-LAG-IKE-026,87,55,393,degraded,grid,98,98,8.3,True,253,27,65,49989
2026-05-05T14:18:45.259653Z,TWR-LAG-IKJ-046,98,67,261,backhaul_degraded,solar,91,4,13.3,False,277,732,64,20582
2026-05-05T14:13:45.259653Z,TWR-LAG-LEK-003,66,28,253,grid_outage,battery,25,53,12.5,False,589,189,62,15418
2026-05-05T14:08:45.259653Z,TWR-LAG-IKJ-034,39,84,443,grid_outage,battery,89,57,11.5,False,274,411,77,22132
2026-05-05T14:03:45.259653Z,TWR-LAG-IKE-023,40,20,215,recovering,grid,52,68,4.7,False,382,717,63,17250
